"idhod","hodnota","stapro_kod","dsz_cis","dsz_kod","rok","obec_kod","obec_txt","okres_kod","okres_txt","dsz_txt"
"1343411505","1","6098","2910","114","2023","529303","Benešov","40169","Benešov","Nízkoprahová denní centra"
"1343411507","1","6098","2910","134","2023","529303","Benešov","40169","Benešov","Noclehárny"
"1343411503","1","6098","2910","132","2023","529303","Benešov","40169","Benešov","Domy na půl cesty"
"1343411511","1","6098","2910","123","2023","529303","Benešov","40169","Benešov","Centra sociálně rehabilitačních služeb"
"1343411499","1","6098","2910","130","2023","529303","Benešov","40169","Benešov","Domovy pro seniory"
"1343411502","1","6098","2910","131","2023","529303","Benešov","40169","Benešov","Azylové domy"
"1343411509","4","6098","2910","102","2023","529303","Benešov","40169","Benešov","Sociální poradny"
"1343411506","1","6098","2910","115","2023","529303","Benešov","40169","Benešov","Nízkoprahová zařízení pro děti a mládež"
"1343411805","1","6098","2910","121","2023","529516","Čerčany","40169","Benešov","Centra denních služeb"
"1343411819","1","6098","2910","102","2023","529516","Čerčany","40169","Benešov","Sociální poradny"
"1343411981","1","6098","2910","133","2023","529532","Červený Újezd","40169","Benešov","Chráněné bydlení"
"1343411210","1","6098","2910","130","2023","529567","Čtyřkoly","40169","Benešov","Domovy pro seniory"
"1343415364","1","6098","2910","135","2023","529842","Jankov","40169","Benešov","Domovy se zvláštním režimem"
"1343415362","1","6098","2910","129","2023","529842","Jankov","40169","Benešov","Domovy pro osoby se zdravotním postižením"
"1343415365","1","6098","2910","133","2023","529842","Jankov","40169","Benešov","Chráněné bydlení"
"1343415122","1","6098","2910","129","2023","530310","Neveklov","40169","Benešov","Domovy pro osoby se zdravotním postižením"
"1343415120","1","6098","2910","128","2023","530310","Neveklov","40169","Benešov","Stacionáře denní"
"1343415125","1","6098","2910","133","2023","530310","Neveklov","40169","Benešov","Chráněné bydlení"
"1343415136","1","6098","2910","108","2023","530310","Neveklov","40169","Benešov","Služby rané péče"
"1343422993","1","6098","2910","135","2023","530352","Ostředek","40169","Benešov","Domovy se zvláštním režimem"
"1343417643","1","6098","2910","130","2023","530883","Vlašim","40169","Benešov","Domovy pro seniory"
"1343417646","1","6098","2910","131","2023","530883","Vlašim","40169","Benešov","Azylové domy"
"1343417653","2","6098","2910","102","2023","530883","Vlašim","40169","Benešov","Sociální poradny"
"1343417713","1","6098","2910","135","2023","530891","Vojkov","40169","Benešov","Domovy se zvláštním režimem"
"1343417712","1","6098","2910","130","2023","530891","Vojkov","40169","Benešov","Domovy pro seniory"
"1343417830","1","6098","2910","115","2023","530905","Votice","40169","Benešov","Nízkoprahová zařízení pro děti a mládež"
"1343432303","1","6098","2910","135","2023","538680","Pyšely","40169","Benešov","Domovy se zvláštním režimem"
"1343417135","2","6098","2910","135","2023","531057","Beroun","40177","Beroun","Domovy se zvláštním režimem"
"1343417140","1","6098","2910","114","2023","531057","Beroun","40177","Beroun","Nízkoprahová denní centra"
"1343417199","1","6098","2910","134","2023","531057","Beroun","40177","Beroun","Noclehárny"
"1343417138","1","6098","2910","132","2023","531057","Beroun","40177","Beroun","Domy na půl cesty"
"1343417131","2","6098","2910","128","2023","531057","Beroun","40177","Beroun","Stacionáře denní"
"1343417136","1","6098","2910","133","2023","531057","Beroun","40177","Beroun","Chráněné bydlení"
"1343417202","1","6098","2910","118","2023","531057","Beroun","40177","Beroun","Sociálně terapeutické dílny"
"1343417203","2","6098","2910","123","2023","531057","Beroun","40177","Beroun","Centra sociálně rehabilitačních služeb"
"1343417134","2","6098","2910","130","2023","531057","Beroun","40177","Beroun","Domovy pro seniory"
"1343417137","2","6098","2910","131","2023","531057","Beroun","40177","Beroun","Azylové domy"
"1343417201","4","6098","2910","102","2023","531057","Beroun","40177","Beroun","Sociální poradny"
"1343417198","1","6098","2910","115","2023","531057","Beroun","40177","Beroun","Nízkoprahová zařízení pro děti a mládež"
"1343417145","1","6098","2910","135","2023","531189","Hořovice","40177","Beroun","Domovy se zvláštním režimem"
"1343417109","1","6098","2910","121","2023","531189","Hořovice","40177","Beroun","Centra denních služeb"
"1343417144","1","6098","2910","130","2023","531189","Hořovice","40177","Beroun","Domovy pro seniory"
"1343417151","1","6098","2910","115","2023","531189","Hořovice","40177","Beroun","Nízkoprahová zařízení pro děti a mládež"
"1343417291","1","6098","2910","130","2023","531201","Hostomice","40177","Beroun","Domovy pro seniory"
"1343416053","1","6098","2910","129","2023","531472","Lochovice","40177","Beroun","Domovy pro osoby se zdravotním postižením"
"1343416052","1","6098","2910","156","2023","531472","Lochovice","40177","Beroun","Stacionáře týdenní"
"1343421482","1","6098","2910","129","2023","531782","Suchomasty","40177","Beroun","Domovy pro osoby se zdravotním postižením"
"1343420800","1","6098","2910","156","2023","531944","Vráž","40177","Beroun","Stacionáře týdenní"
"1343421455","1","6098","2910","135","2023","532011","Zdice","40177","Beroun","Domovy se zvláštním režimem"
"1343421454","1","6098","2910","130","2023","532011","Zdice","40177","Beroun","Domovy pro seniory"
"1343420886","1","6098","2910","125","2023","532053","Kladno","40185","Kladno","Služby následné péče"
"1343420870","1","6098","2910","129","2023","532053","Kladno","40185","Kladno","Domovy pro osoby se zdravotním postižením"
"1343420885","1","6098","2910","124","2023","532053","Kladno","40185","Kladno","Intervenční centra"
"1343420868","3","6098","2910","128","2023","532053","Kladno","40185","Kladno","Stacionáře denní"
"1343420873","1","6098","2910","133","2023","532053","Kladno","40185","Kladno","Chráněné bydlení"
"1343420876","1","6098","2910","122","2023","532053","Kladno","40185","Kladno","Zařízení pro krizovou pomoc"
"1343420880","1","6098","2910","120","2023","532053","Kladno","40185","Kladno","Terapeutické komunity"
"1343420882","1","6098","2910","118","2023","532053","Kladno","40185","Kladno","Sociálně terapeutické dílny"
"1343420883","1","6098","2910","123","2023","532053","Kladno","40185","Kladno","Centra sociálně rehabilitačních služeb"
"1343420869","1","6098","2910","156","2023","532053","Kladno","40185","Kladno","Stacionáře týdenní"
"1343420871","2","6098","2910","130","2023","532053","Kladno","40185","Kladno","Domovy pro seniory"
"1343420874","3","6098","2910","131","2023","532053","Kladno","40185","Kladno","Azylové domy"
"1343420881","7","6098","2910","102","2023","532053","Kladno","40185","Kladno","Sociální poradny"
"1343420884","1","6098","2910","108","2023","532053","Kladno","40185","Kladno","Služby rané péče"
"1343420374","1","6098","2910","133","2023","532371","Hřebeč","40185","Kladno","Chráněné bydlení"
"1343419792","1","6098","2910","129","2023","532533","Ledce","40185","Kladno","Domovy pro osoby se zdravotním postižením"
"1343419795","1","6098","2910","133","2023","532533","Ledce","40185","Kladno","Chráněné bydlení"
"1343418034","1","6098","2910","135","2023","532819","Slaný","40185","Kladno","Domovy se zvláštním režimem"
"1343418085","1","6098","2910","123","2023","532819","Slaný","40185","Kladno","Centra sociálně rehabilitačních služeb"
"1343418083","2","6098","2910","102","2023","532819","Slaný","40185","Kladno","Sociální poradny"
"1343418211","1","6098","2910","129","2023","532835","Smečno","40185","Kladno","Domovy pro osoby se zdravotním postižením"
"1343418209","1","6098","2910","128","2023","532835","Smečno","40185","Kladno","Stacionáře denní"
"1343418214","1","6098","2910","133","2023","532835","Smečno","40185","Kladno","Chráněné bydlení"
"1343418210","1","6098","2910","156","2023","532835","Smečno","40185","Kladno","Stacionáře týdenní"
"1343418212","1","6098","2910","130","2023","532835","Smečno","40185","Kladno","Domovy pro seniory"
"1343418225","1","6098","2910","108","2023","532835","Smečno","40185","Kladno","Služby rané péče"
"1343418525","1","6098","2910","135","2023","532983","Tuchlovice","40185","Kladno","Domovy se zvláštním režimem"
"1343418765","1","6098","2910","135","2023","533017","Unhošť","40185","Kladno","Domovy se zvláštním režimem"
"1343418763","1","6098","2910","129","2023","533017","Unhošť","40185","Kladno","Domovy pro osoby se zdravotním postižením"
"1343418761","1","6098","2910","128","2023","533017","Unhošť","40185","Kladno","Stacionáře denní"
"1343418766","1","6098","2910","133","2023","533017","Unhošť","40185","Kladno","Chráněné bydlení"
"1343418775","1","6098","2910","118","2023","533017","Unhošť","40185","Kladno","Sociálně terapeutické dílny"
"1343418776","1","6098","2910","123","2023","533017","Unhošť","40185","Kladno","Centra sociálně rehabilitačních služeb"
"1343418764","1","6098","2910","130","2023","533017","Unhošť","40185","Kladno","Domovy pro seniory"
"1343418774","1","6098","2910","102","2023","533017","Unhošť","40185","Kladno","Sociální poradny"
"1343418044","1","6098","2910","130","2023","533041","Velvary","40185","Kladno","Domovy pro seniory"
"1343418103","1","6098","2910","129","2023","533068","Vraný","40185","Kladno","Domovy pro osoby se zdravotním postižením"
"1343418731","1","6098","2910","130","2023","533157","Žižice","40185","Kladno","Domovy pro seniory"
"1343417884","1","6098","2910","135","2023","533165","Kolín","40193","Kolín","Domovy se zvláštním režimem"
"1343417880","1","6098","2910","128","2023","533165","Kolín","40193","Kolín","Stacionáře denní"
"1343417885","1","6098","2910","133","2023","533165","Kolín","40193","Kolín","Chráněné bydlení"
"1343417895","1","6098","2910","123","2023","533165","Kolín","40193","Kolín","Centra sociálně rehabilitačních služeb"
"1343417883","3","6098","2910","130","2023","533165","Kolín","40193","Kolín","Domovy pro seniory"
"1343417893","4","6098","2910","102","2023","533165","Kolín","40193","Kolín","Sociální poradny"
"1343417890","1","6098","2910","115","2023","533165","Kolín","40193","Kolín","Nízkoprahová zařízení pro děti a mládež"
